ticker,date,title,summary,source,url,article_count,combined_text,cleaned_text,open,high,low,close,adj_close,volume,future_close,future_return,label
AAPL,2024-01-02,Apple outlook mixed as AI optimism meets valuation concern,Positive product commentary was offset by cautious hardware and valuation checks.,demo,,1,Apple outlook mixed as AI optimism meets valuation concern Positive product commentary was offset by cautious hardware and valuation checks.,apple outlook mixed ai optimism meets valuation concern positive product commentary offset cautious hardware valuation checks,100.5,101.71,98.8,100,100,700000,102.0,0.02,1
AAPL,2024-01-03,Apple valuation and hardware concerns weigh,Investors reacted to cautious supplier checks and limited near-term upside.,demo,,1,Apple valuation and hardware concerns weigh Investors reacted to cautious supplier checks and limited near-term upside.,apple valuation hardware concerns weigh investors reacted cautious supplier checks limited nearterm upside,101.49,103.22,100.27,102,102,715000,101.0,-0.00980392156862745,-1
AAPL,2024-01-04,Apple services and AI demand improve,Analysts cited resilient demand and stronger upgrade-cycle expectations.,demo,,1,Apple services and AI demand improve Analysts cited resilient demand and stronger upgrade-cycle expectations.,apple services ai demand improve analysts cited resilient demand stronger upgradecycle expectations,101.5,102.72,99.79,101,101,730000,104.0,0.0297029702970297,1
AAPL,2024-01-05,Apple valuation and hardware concerns weigh,Investors reacted to cautious supplier checks and limited near-term upside.,demo,,1,Apple valuation and hardware concerns weigh Investors reacted to cautious supplier checks and limited near-term upside.,apple valuation hardware concerns weigh investors reacted cautious supplier checks limited nearterm upside,103.48,105.25,102.24,104,104,745000,103.0,-0.009615384615384616,-1
AAPL,2024-01-08,Apple services and AI demand improve,Analysts cited resilient demand and stronger upgrade-cycle expectations.,demo,,1,Apple services and AI demand improve Analysts cited resilient demand and stronger upgrade-cycle expectations.,apple services ai demand improve analysts cited resilient demand stronger upgradecycle expectations,103.51,104.75,101.76,103,103,760000,105.0,0.019417475728155338,1
AAPL,2024-01-09,Apple valuation and hardware concerns weigh,Investors reacted to cautious supplier checks and limited near-term upside.,demo,,1,Apple valuation and hardware concerns weigh Investors reacted to cautious supplier checks and limited near-term upside.,apple valuation hardware concerns weigh investors reacted cautious supplier checks limited nearterm upside,104.47,106.26,103.22,105,105,775000,107.0,0.01904761904761905,1
AAPL,2024-01-10,Apple valuation and hardware concerns weigh,Investors reacted to cautious supplier checks and limited near-term upside.,demo,,1,Apple valuation and hardware concerns weigh Investors reacted to cautious supplier checks and limited near-term upside.,apple valuation hardware concerns weigh investors reacted cautious supplier checks limited nearterm upside,107.53,108.82,105.72,107,107,790000,106.0,-0.009345794392523364,-1
AAPL,2024-01-11,Apple outlook mixed as AI optimism meets valuation concern,Positive product commentary was offset by cautious hardware and valuation checks.,demo,,1,Apple outlook mixed as AI optimism meets valuation concern Positive product commentary was offset by cautious hardware and valuation checks.,apple outlook mixed ai optimism meets valuation concern positive product commentary offset cautious hardware valuation checks,105.47,107.27,104.2,106,106,805000,108.0,0.018867924528301886,1
AAPL,2024-01-12,Apple services and AI demand improve,Analysts cited resilient demand and stronger upgrade-cycle expectations.,demo,,1,Apple services and AI demand improve Analysts cited resilient demand and stronger upgrade-cycle expectations.,apple services ai demand improve analysts cited resilient demand stronger upgradecycle expectations,108.54,109.84,106.7,108,108,820000,109.0,0.009259259259259259,1
AAPL,2024-01-16,Apple valuation and hardware concerns weigh,Investors reacted to cautious supplier checks and limited near-term upside.,demo,,1,Apple valuation and hardware concerns weigh Investors reacted to cautious supplier checks and limited near-term upside.,apple valuation hardware concerns weigh investors reacted cautious supplier checks limited nearterm upside,108.45,110.31,107.15,109,109,835000,107.0,-0.01834862385321101,-1
AAPL,2024-01-17,Apple valuation and hardware concerns weigh,Investors reacted to cautious supplier checks and limited near-term upside.,demo,,1,Apple valuation and hardware concerns weigh Investors reacted to cautious supplier checks and limited near-term upside.,apple valuation hardware concerns weigh investors reacted cautious supplier checks limited nearterm upside,107.53,108.82,105.72,107,107,850000,110.0,0.028037383177570093,1
AAPL,2024-01-18,Apple services and AI demand improve,Analysts cited resilient demand and stronger upgrade-cycle expectations.,demo,,1,Apple services and AI demand improve Analysts cited resilient demand and stronger upgrade-cycle expectations.,apple services ai demand improve analysts cited resilient demand stronger upgradecycle expectations,109.45,111.32,108.14,110,110,865000,112.0,0.01818181818181818,1
AAPL,2024-01-19,Apple valuation and hardware concerns weigh,Investors reacted to cautious supplier checks and limited near-term upside.,demo,,1,Apple valuation and hardware concerns weigh Investors reacted to cautious supplier checks and limited near-term upside.,apple valuation hardware concerns weigh investors reacted cautious supplier checks limited nearterm upside,112.56,113.91,110.66,112,112,880000,111.0,-0.008928571428571428,-1
AMZN,2024-01-02,Amazon margins and AWS demand improve,Retail efficiency and cloud pipeline checks supported a better outlook.,demo,,1,Amazon margins and AWS demand improve Retail efficiency and cloud pipeline checks supported a better outlook.,amazon margins aws demand improve retail efficiency cloud pipeline checks supported better outlook,150.75,152.56,148.2,150,150,1400000,151.0,0.006666666666666667,1
AMZN,2024-01-03,Amazon margins and AWS demand improve,Retail efficiency and cloud pipeline checks supported a better outlook.,demo,,1,Amazon margins and AWS demand improve Retail efficiency and cloud pipeline checks supported a better outlook.,amazon margins aws demand improve retail efficiency cloud pipeline checks supported better outlook,150.25,152.81,148.45,151,151,1415000,150.0,-0.006622516556291391,-1
AMZN,2024-01-04,Amazon margins and AWS demand improve,Retail efficiency and cloud pipeline checks supported a better outlook.,demo,,1,Amazon margins and AWS demand improve Retail efficiency and cloud pipeline checks supported a better outlook.,amazon margins aws demand improve retail efficiency cloud pipeline checks supported better outlook,150.75,152.56,148.2,150,150,1430000,153.0,0.02,1
